params,accuracy
"{'batch_size': 512, 'gamma': 1.2, 'lr': 0.02, 'n_a': 128, 'n_d': 64, 'n_steps': 5}",0.7508211079483249
"{'batch_size': 512, 'gamma': 1.2, 'lr': 0.02, 'n_a': 128, 'n_d': 128, 'n_steps': 3}",0.7578278957740311
"{'batch_size': 512, 'gamma': 1.2, 'lr': 0.02, 'n_a': 128, 'n_d': 128, 'n_steps': 5}",0.7525728049047514
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.01, 'n_a': 64, 'n_d': 64, 'n_steps': 3}",0.7569520472958178
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.01, 'n_a': 64, 'n_d': 64, 'n_steps': 5}",0.7522443617254215
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.01, 'n_a': 64, 'n_d': 128, 'n_steps': 3}",0.7532296912634114
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.01, 'n_a': 64, 'n_d': 128, 'n_steps': 5}",0.7530107291438581
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.01, 'n_a': 128, 'n_d': 64, 'n_steps': 3}",0.750492664768995
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.01, 'n_a': 128, 'n_d': 64, 'n_steps': 5}",0.7545434639807314
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.01, 'n_a': 128, 'n_d': 128, 'n_steps': 3}",0.7542150208014013
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.01, 'n_a': 128, 'n_d': 128, 'n_steps': 5}",0.7507116268885483
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.02, 'n_a': 64, 'n_d': 64, 'n_steps': 3}",0.7515874753667615
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.02, 'n_a': 64, 'n_d': 64, 'n_steps': 5}",0.7519159185460915
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.02, 'n_a': 64, 'n_d': 128, 'n_steps': 3}",0.7602364790891176
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.02, 'n_a': 64, 'n_d': 128, 'n_steps': 5}",0.758484782132691
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.02, 'n_a': 128, 'n_d': 64, 'n_steps': 3}",0.7580468578935844
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.02, 'n_a': 128, 'n_d': 64, 'n_steps': 5}",0.7532296912634114
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.02, 'n_a': 128, 'n_d': 128, 'n_steps': 3}",0.7516969564265382
"{'batch_size': 512, 'gamma': 1.5, 'lr': 0.02, 'n_a': 128, 'n_d': 128, 'n_steps': 5}",0.7571710094153712
